gender,ethncity,parent_education,lunch,test_preparation,math_score,reading_score,writing_score
female,group B,master's degree,standard,none,90,95,93
female,group B,some college,standard,completed,88,95,92
male,group C,high school,standard,none,88,89,86
male,group E,some college,standard,none,97,87,82
male,group E,associate's degree,standard,completed,81,81,79
male,group C,high school,standard,completed,82,84,82
male,group D,high school,standard,none,88,78,75
female,group E,associate's degree,standard,completed,82,85,86
female,group D,associate's degree,standard,none,85,91,89
male,group C,some college,standard,completed,98,86,90
female,group D,master's degree,standard,none,87,100,100
female,group E,bachelor's degree,standard,completed,99,100,100
male,group C,high school,standard,none,84,77,74
male,group B,associate's degree,standard,completed,91,89,92
female,group C,some college,standard,completed,88,93,93
male,group E,some college,standard,none,83,80,73
female,group B,high school,standard,none,87,95,86
male,group D,master's degree,standard,none,82,82,74
male,group D,master's degree,standard,none,89,84,82
male,group E,some college,free/reduced,completed,87,74,70
male,group D,some college,standard,none,88,73,78
male,group B,some high school,standard,none,88,84,75
male,group E,associate's degree,free/reduced,completed,100,100,93
male,group B,associate's degree,free/reduced,completed,82,78,74
female,group E,master's degree,standard,none,81,92,91
female,group C,bachelor's degree,standard,completed,96,100,100
male,group E,some high school,standard,none,94,88,78
female,group C,master's degree,standard,completed,81,91,87
female,group D,some high school,standard,completed,97,100,100
male,group E,bachelor's degree,standard,none,82,62,62
male,group E,high school,standard,completed,81,80,76
male,group E,high school,standard,completed,87,91,81
male,group B,some high school,standard,completed,84,83,75
female,group E,associate's degree,free/reduced,completed,83,86,88
male,group B,associate's degree,standard,none,87,85,73
male,group D,some high school,standard,none,86,80,75
female,group C,some college,standard,completed,88,95,94
male,group E,some high school,standard,none,92,87,78
male,group C,bachelor's degree,standard,completed,83,82,84
male,group C,associate's degree,standard,none,84,80,80
male,group C,associate's degree,standard,none,85,76,71
male,group E,associate's degree,standard,none,89,76,74
female,group E,high school,standard,none,99,93,90
female,group D,associate's degree,standard,completed,88,92,95
male,group B,some college,standard,completed,88,85,76
male,group C,bachelor's degree,standard,none,83,78,73
female,group C,some high school,standard,completed,85,92,93
male,group B,associate's degree,standard,completed,81,82,82
male,group E,associate's degree,standard,completed,97,82,88
male,group B,bachelor's degree,free/reduced,none,88,75,76
male,group D,some high school,standard,none,86,73,70
male,group D,associate's degree,free/reduced,none,90,87,75
male,group A,some college,free/reduced,completed,81,78,81
male,group E,some college,standard,completed,99,87,81
male,group C,associate's degree,standard,none,83,72,78
female,group C,some college,standard,none,82,90,94
male,group C,associate's degree,standard,completed,82,75,77
male,group B,associate's degree,standard,none,90,78,81
female,group C,bachelor's degree,standard,none,83,93,95
male,group E,associate's degree,standard,none,87,74,76
male,group B,some high school,standard,completed,85,84,78
male,group E,some college,standard,none,84,77,71
female,group D,some college,standard,completed,82,97,96
female,group D,master's degree,free/reduced,completed,85,95,100
male,group C,associate's degree,standard,completed,87,100,95
female,group C,associate's degree,standard,none,85,89,95
female,group D,high school,standard,completed,88,99,100
female,group B,associate's degree,standard,none,82,80,77
male,group D,associate's degree,standard,completed,87,84,85
male,group E,some college,standard,completed,84,83,78
male,group E,high school,standard,none,84,73,69
female,group C,associate's degree,free/reduced,completed,82,93,93
male,group C,bachelor's degree,standard,none,86,83,86
male,group D,some high school,standard,completed,89,88,82
male,group C,high school,standard,completed,86,81,80
male,group B,associate's degree,standard,none,81,73,72
female,group E,some college,standard,none,100,92,97
female,group E,bachelor's degree,standard,none,100,100,100
female,group C,some college,standard,none,84,87,91
male,group C,some college,standard,none,91,74,76
female,group C,associate's degree,standard,completed,83,85,90
female,group B,associate's degree,standard,completed,90,90,91
female,group C,some college,standard,none,83,83,90
female,group C,bachelor's degree,standard,none,81,88,90
female,group B,associate's degree,standard,completed,94,87,92
female,group E,associate's degree,standard,completed,95,89,92
female,group B,some high school,standard,none,82,82,80
female,group C,bachelor's degree,standard,none,86,92,87
female,group C,associate's degree,standard,none,91,86,84
male,group E,bachelor's degree,standard,completed,85,66,71
male,group A,associate's degree,standard,completed,97,92,86
female,group C,associate's degree,standard,none,81,77,79
female,group D,associate's degree,standard,none,82,95,89
female,group A,some high school,standard,completed,92,100,97
male,group B,bachelor's degree,free/reduced,completed,87,90,88
male,group C,bachelor's degree,standard,completed,96,90,92
female,group E,bachelor's degree,free/reduced,completed,92,100,100
male,group A,bachelor's degree,standard,none,91,96,92
female,group B,high school,standard,none,81,91,89
female,group D,some high school,standard,none,81,97,96
female,group C,bachelor's degree,standard,completed,92,100,99
male,group D,master's degree,free/reduced,completed,84,89,90
female,group C,associate's degree,standard,none,85,84,82
male,group C,bachelor's degree,standard,completed,94,90,91
female,group A,associate's degree,standard,none,82,93,93
male,group D,bachelor's degree,standard,none,88,78,83
male,group D,master's degree,standard,none,95,81,84
male,group A,some college,standard,completed,100,96,86
male,group D,some college,standard,completed,100,97,99
male,group D,some high school,standard,none,84,84,80
male,group E,some college,standard,none,86,76,74
female,group D,some college,standard,completed,85,86,98
male,group D,associate's degree,standard,none,90,87,85
male,group D,associate's degree,standard,completed,81,72,77
male,group D,associate's degree,free/reduced,none,81,75,78
female,group E,master's degree,standard,completed,94,99,100
male,group E,some college,standard,completed,85,75,68
male,group E,some college,free/reduced,none,93,90,83
male,group A,bachelor's degree,standard,completed,87,84,87
male,group D,high school,standard,none,89,87,79
male,group C,some college,standard,completed,93,84,90
female,group D,some college,standard,none,98,100,99
male,group D,master's degree,standard,none,81,81,84
female,group C,associate's degree,standard,completed,96,96,99
male,group E,associate's degree,free/reduced,completed,91,73,80
male,group E,some college,standard,completed,81,74,71
female,group C,some college,standard,completed,87,89,94
male,group C,associate's degree,standard,none,92,79,84
male,group D,associate's degree,standard,none,81,71,73
female,group C,high school,standard,none,81,84,82
male,group B,some college,standard,completed,87,84,86
female,group E,associate's degree,standard,none,84,95,92
male,group E,associate's degree,standard,completed,94,85,82
male,group C,bachelor's degree,standard,completed,91,81,79
male,group E,some high school,standard,completed,89,84,77
female,group E,associate's degree,standard,none,87,94,95
female,group B,some college,standard,none,82,85,87
male,group C,high school,standard,none,90,75,69
male,group E,some high school,standard,completed,87,84,76
male,group B,some high school,standard,completed,94,86,87
female,group A,some high school,standard,completed,85,90,92
male,group E,master's degree,standard,none,90,85,84
male,group C,master's degree,standard,completed,91,85,85
female,group E,some college,standard,none,87,85,93
male,group E,some high school,standard,none,82,67,61
female,group B,bachelor's degree,standard,none,97,97,96
male,group C,associate's degree,free/reduced,none,87,73,72
female,group E,master's degree,free/reduced,none,81,86,87
male,group C,associate's degree,standard,none,97,93,91
male,group D,some college,standard,completed,82,82,88
male,group B,associate's degree,standard,completed,82,84,78
male,group E,associate's degree,free/reduced,none,90,90,82
male,group D,some college,standard,none,81,82,84
female,group E,associate's degree,standard,completed,93,100,95
female,group E,some college,standard,completed,86,85,91
female,group E,associate's degree,standard,none,85,92,85
male,group D,some high school,standard,completed,88,74,75
male,group D,master's degree,standard,none,85,84,89
female,group D,bachelor's degree,free/reduced,completed,93,100,100
male,group D,some college,standard,none,88,77,77
male,group E,bachelor's degree,standard,completed,100,100,100
male,group B,some college,standard,completed,91,96,91
male,group C,associate's degree,standard,completed,98,87,90
male,group D,some college,standard,completed,85,81,85
male,group C,high school,standard,none,81,66,64
male,group B,high school,standard,none,82,82,80
male,group E,high school,standard,none,94,73,71
male,group C,some college,standard,none,84,87,81
female,group D,master's degree,standard,none,92,100,100
female,group E,associate's degree,standard,none,100,100,100
female,group D,bachelor's degree,standard,none,89,100,100
female,group C,associate's degree,standard,none,91,95,94
male,group D,some high school,standard,none,81,78,78
male,group E,some high school,standard,completed,81,75,76
male,group E,high school,free/reduced,completed,86,81,75
female,group E,master's degree,standard,completed,88,99,95
