year,avg_value,sd_value,min_value,max_value,avg_return,sd_return,trading_days
2007,1477.18533864542,44.81870916687429,1374.12,1565.15,.019440604,1.0089735,251
2008,1220.04090909091,191.4255556002612,752.4400000000001,1447.16,-.1586858,2.5808473,253
2009,948.0463888888891,115.5682186908238,676.53,1127.78,.098347157,1.7187945,252
2010,1139.965634920636,56.20152406088811,1022.58,1259.78,.05419223,1.1371753,252
2011,1267.63873015873,62.5513684613618,1099.23,1363.61,.010740359,1.4661107,252
2012,1379.353400000001,46.6267869392812,1277.06,1465.77,.053551566,.80422491,250
2013,1643.798968253968,99.23510974098714,1457.15,1848.36,.10536935,.69726986,252
2014,1931.376111111111,79.81534485335085,1741.89,2090.57,.045374908,.71627736,252
2015,2061.067738095238,54.88578910301839,1867.61,2130.82,.0018563492,.9760136,252
